model,best_params,cv_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.8368131868131868,0.8333333333333334,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.9305555555555556,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.8444444444444444,0.9166666666666666
RandomForest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 800}",0.8447802197802197,1.0,1.0,1.0,1.0,1.0,0.8125,0.8,0.8333333333333334,0.8163265306122449,0.907986111111111
LogisticRegression,"{'C': 1.0, 'penalty': 'l2'}",0.8268445839874412,0.875,0.8461538461538461,0.9166666666666666,0.88,0.9201388888888888,0.875,0.875,0.875,0.875,0.9010416666666667
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8622056514913657,1.0,1.0,1.0,1.0,1.0,0.7291666666666666,0.7037037037037037,0.7916666666666666,0.7450980392156863,0.8802083333333333
KNeighbors,"{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'distance'}",0.7390502354788071,1.0,1.0,1.0,1.0,1.0,0.7291666666666666,0.8235294117647058,0.5833333333333334,0.6829268292682927,0.842013888888889
GaussianNB,{'var_smoothing': 1e-08},0.6794740973312401,0.6041666666666666,1.0,0.20833333333333334,0.3448275862068966,0.7465277777777779,0.5208333333333334,1.0,0.041666666666666664,0.08,0.7274305555555556
DecisionTree,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 3}",0.7205651491365778,0.8541666666666666,0.9473684210526315,0.75,0.8372093023255814,0.9253472222222222,0.7083333333333334,0.75,0.625,0.6818181818181818,0.701388888888889
